0,999
1000,1999
2000,2999
3000,3999
4000,4999
5000,5999
6000,6999
7000,7999
8000,8999
9000,9999
10000,10999
11000,11999
12000,12999
13000,13999
14000,14999
15000,15999
16000,16999
17000,17999
18000,18999
19000,19999
20000,20999
21000,21999
22000,22999
23000,23999
24000,24999
25000,25999
26000,26999
27000,27999
28000,28999
29000,29999
30000,30999
31000,31999
32000,32999
33000,33999
34000,34999
35000,35999
36000,36999
37000,37999
38000,38999
39000,39999
40000,40999
41000,41999
42000,42999
43000,43999
44000,44999
45000,45999
46000,46999
47000,47999
48000,48999
49000,49999
50000,50999
51000,51999
52000,52999
53000,53999
54000,54999
55000,55999
56000,56999
57000,57999
58000,58999
59000,59999
60000,60999
61000,61999
62000,62999
63000,63999
64000,64999
65000,65999
66000,66999
67000,67999
68000,68999
69000,69999
70000,70999
71000,71999
72000,72999
73000,73999
74000,74999
75000,75999
76000,76999
77000,77999
78000,78999
79000,79999
80000,80999
81000,81999
82000,82999
83000,83999
84000,84999
85000,85999
86000,86999
87000,87999
88000,88999
89000,89999
90000,90999
91000,91999
92000,92999
93000,93999
94000,94999
95000,95999
96000,96999
97000,97999
98000,98999
99000,99999
100000,100999
